threshold,sensitivity,specificity,precision,npv,f1,accuracy,youden_j
0.413819095,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.418743719,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.423668342,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.428592965,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.433517588,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.438442211,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.443366834,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.448291457,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.45321608,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.458140704,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.463065327,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.46798995,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.472914573,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.477839196,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.482763819,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.487688442,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.492613065,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.497537688,0.988505747,0.988888889,0.988505747,0.988888889,0.988505747,0.988700565,0.977394636
0.502462312,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.507386935,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.512311558,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.517236181,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.522160804,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.527085427,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.53201005,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.536934673,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.541859296,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.54678392,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.551708543,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.556633166,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.561557789,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.566482412,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.571407035,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.576331658,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.581256281,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.586180905,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.591105528,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.596030151,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.600954774,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.605879397,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.61080402,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.615728643,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.620653266,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.625577889,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.630502513,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.635427136,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.640351759,0.98467433,0.988888889,0.988461538,0.985239852,0.986564299,0.986817326,0.973563218
0.645276382,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.650201005,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.655125628,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.660050251,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.664974874,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.669899497,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.674824121,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.679748744,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.684673367,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.68959799,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.694522613,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.699447236,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.704371859,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.709296482,0.977011494,0.988888889,0.988372093,0.978021978,0.98265896,0.983050847,0.965900383
0.714221106,0.973180077,0.988888889,0.988326848,0.974452555,0.980694981,0.981167608,0.962068966
0.719145729,0.969348659,0.988888889,0.98828125,0.970909091,0.978723404,0.979284369,0.958237548
0.724070352,0.969348659,0.988888889,0.98828125,0.970909091,0.978723404,0.979284369,0.958237548
0.728994975,0.969348659,0.988888889,0.98828125,0.970909091,0.978723404,0.979284369,0.958237548
0.733919598,0.969348659,0.988888889,0.98828125,0.970909091,0.978723404,0.979284369,0.958237548
0.738844221,0.969348659,0.988888889,0.98828125,0.970909091,0.978723404,0.979284369,0.958237548
0.743768844,0.969348659,0.992592593,0.992156863,0.971014493,0.980620155,0.981167608,0.961941252
0.748693467,0.965517241,0.992592593,0.992125984,0.967509025,0.978640777,0.979284369,0.958109834
0.75361809,0.965517241,0.992592593,0.992125984,0.967509025,0.978640777,0.979284369,0.958109834
0.758542714,0.965517241,0.996296296,0.996047431,0.967625899,0.980544747,0.981167608,0.961813538
0.763467337,0.965517241,0.996296296,0.996047431,0.967625899,0.980544747,0.981167608,0.961813538
0.76839196,0.965517241,0.996296296,0.996047431,0.967625899,0.980544747,0.981167608,0.961813538
0.773316583,0.965517241,0.996296296,0.996047431,0.967625899,0.980544747,0.981167608,0.961813538
0.778241206,0.965517241,0.996296296,0.996047431,0.967625899,0.980544747,0.981167608,0.961813538
0.783165829,0.965517241,0.996296296,0.996047431,0.967625899,0.980544747,0.981167608,0.961813538
0.788090452,0.965517241,0.996296296,0.996047431,0.967625899,0.980544747,0.981167608,0.961813538
0.793015075,0.965517241,0.996296296,0.996047431,0.967625899,0.980544747,0.981167608,0.961813538
0.797939698,0.961685824,0.996296296,0.996031746,0.964157706,0.978557505,0.979284369,0.95798212
0.802864322,0.961685824,0.996296296,0.996031746,0.964157706,0.978557505,0.979284369,0.95798212
0.807788945,0.961685824,0.996296296,0.996031746,0.964157706,0.978557505,0.979284369,0.95798212
0.812713568,0.961685824,0.996296296,0.996031746,0.964157706,0.978557505,0.979284369,0.95798212
0.817638191,0.961685824,0.996296296,0.996031746,0.964157706,0.978557505,0.979284369,0.95798212
0.822562814,0.961685824,0.996296296,0.996031746,0.964157706,0.978557505,0.979284369,0.95798212
0.827487437,0.961685824,0.996296296,0.996031746,0.964157706,0.978557505,0.979284369,0.95798212
0.83241206,0.957854406,0.996296296,0.996015936,0.960714286,0.9765625,0.97740113,0.954150702
0.837336683,0.954022989,0.996296296,0.996,0.957295374,0.974559687,0.975517891,0.950319285
0.842261307,0.954022989,0.996296296,0.996,0.957295374,0.974559687,0.975517891,0.950319285
0.84718593,0.950191571,0.996296296,0.995983936,0.953900709,0.97254902,0.973634652,0.946487867
0.852110553,0.946360153,0.996296296,0.995967742,0.950530035,0.970530452,0.971751412,0.94265645
0.857035176,0.946360153,0.996296296,0.995967742,0.950530035,0.970530452,0.971751412,0.94265645
0.861959799,0.942528736,0.996296296,0.995951417,0.947183099,0.968503937,0.969868173,0.938825032
0.866884422,0.938697318,1,1,0.944055944,0.968379447,0.969868173,0.938697318
0.871809045,0.9348659,1,1,0.940766551,0.966336634,0.967984934,0.9348659
0.876733668,0.9348659,1,1,0.940766551,0.966336634,0.967984934,0.9348659
0.881658291,0.9348659,1,1,0.940766551,0.966336634,0.967984934,0.9348659
0.886582915,0.9348659,1,1,0.940766551,0.966336634,0.967984934,0.9348659
0.891507538,0.931034483,1,1,0.9375,0.964285714,0.966101695,0.931034483
0.896432161,0.931034483,1,1,0.9375,0.964285714,0.966101695,0.931034483
0.901356784,0.931034483,1,1,0.9375,0.964285714,0.966101695,0.931034483
0.906281407,0.931034483,1,1,0.9375,0.964285714,0.966101695,0.931034483
0.91120603,0.927203065,1,1,0.934256055,0.96222664,0.964218456,0.927203065
0.916130653,0.923371648,1,1,0.931034483,0.960159363,0.962335217,0.923371648
0.921055276,0.923371648,1,1,0.931034483,0.960159363,0.962335217,0.923371648
0.925979899,0.915708812,1,1,0.924657534,0.956,0.958568738,0.915708812
0.930904523,0.915708812,1,1,0.924657534,0.956,0.958568738,0.915708812
0.935829146,0.908045977,1,1,0.918367347,0.951807229,0.95480226,0.908045977
0.940753769,0.904214559,1,1,0.915254237,0.949698189,0.952919021,0.904214559
0.945678392,0.904214559,1,1,0.915254237,0.949698189,0.952919021,0.904214559
0.950603015,0.892720307,1,1,0.906040268,0.943319838,0.947269303,0.892720307
0.955527638,0.881226054,1,1,0.897009967,0.936863544,0.941619586,0.881226054
0.960452261,0.877394636,1,1,0.894039735,0.934693878,0.939736347,0.877394636
0.965376884,0.865900383,1,1,0.885245902,0.928131417,0.934086629,0.865900383
0.970301508,0.858237548,1,1,0.879478827,0.92371134,0.930320151,0.858237548
0.975226131,0.812260536,1,1,0.846394984,0.89640592,0.907721281,0.812260536
0.980150754,0.785440613,1,1,0.828220859,0.879828326,0.894538606,0.785440613
0.985075377,0.513409962,1,1,0.680100756,0.678481013,0.760828625,0.513409962
0.99,0,1,0,0.508474576,0,0.508474576,0
